NHL,Sportium,Montreal Canadiens,New York Islanders,1.72,None,2.05
NHL,Sportium,Tampa Bay Lightning,Buffalo Sabres,1.30,None,3.40
NHL,Sportium,St Louis Blues,Detroit Red Wings,1.57,None,2.35
NHL,Sportium,Colorado Avalanche,Calgary Flames,1.83,None,1.90
NHL,Sportium,Vancouver Canucks,New York Rangers,1.80,None,2.00
NHL,Sportium,Philadelphia Flyers,Carolina Hurricanes,1.57,None,2.35
NHL,Sportium,Boston Bruins,Pittsburgh Penguins,1.80,None,2.00
NHL,Sportium,Florida Panthers,New Jersey Devils,1.72,None,2.11
NHL,Sportium,Arizona Coyotes,Minnesota Wild,2.40,None,1.57
NHL,Sportium,Edmonton Oilers,Nashville Predators,2.11,None,1.72
NHL,Sportium,Los Angeles Kings,Columbus Blue Jackets,1.61,None,2.25
NHL,Sportium,San Jose Sharks,Chicago Blackhawks,1.57,None,2.35
La Liga,Sportium,Betis,Real sociedad,2.55,3.60,2.50
La Liga,Sportium,Las Palmas,Barcelona,13.00,7.00,1.18
La Liga,Sportium,Villarreal,Girona,1.80,3.50,4.50
La Liga,Sportium,Sevilla,Athletic de Bilbao,1.66,3.70,5.20
La Liga,Sportium,Deportivo,Eibar,2.55,3.25,2.75
La Liga,Sportium,Real Madrid,Getafe,1.22,6.50,13.00
La Liga,Sportium,Levante,Espa�ol,2.75,3.00,2.70
La Liga,Sportium,Barcelona,Atletico de Madrid,1.70,3.70,4.80
La Liga,Sportium,Valencia,Betis,1.50,4.50,5.80
La Liga,Sportium,Celta de Vigo,Las Palmas,1.44,4.50,6.50
La Liga,Sportium,Eibar,Real Madrid,6.50,4.50,1.44
La Liga,Sportium,Getafe,Levante,1.80,3.30,4.75
La Liga,Sportium,Espa�ol,Real sociedad,2.37,3.25,3.00
La Liga,Sportium,Atletico de Madrid,Celta de Vigo,1.40,4.25,8.50
Champions League,Sportium,PSG,Real Madrid,2.10,4.00,3.20
Champions League,Sportium,Liverpool,Oporto,1.50,4.33,7.00
Champions League,Sportium,Tottenham,Juventus,2.11,3.50,3.50
Champions League,Sportium,Manchester City,Basel,1.14,8.00,26.00
Champions League,Sportium,Roma,Shaktar,1.72,4.00,5.00
Champions League,Sportium,Manchester United,Sevilla,1.72,3.70,5.50
Champions League,Sportium,Besiktas,Bayern Munich,6.50,4.50,1.50
